id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated
se1|Classical Proms Evening|Elegant classical music concert|https://source.unsplash.com/random/?classical|1 Austin Terrace, Toronto, ON M5R 1X8|Classical Music Concert|All levels|2025-06-02|2025-06-02|Not required|2-3 hours|Elegant classical music concert|$30-70+ CAD|Symphony in the Gardens: Classical Proms|In-town (Casa Loma area, accessible by public transit)|N/A|No|Classical,Music,Concert|2025-05-29T00:00:00Z
se2|Comedy Show Night|Improv/sketch comedy performance|https://source.unsplash.com/random/?comedy|1 York St, Toronto, ON M5J 2P1|Comedy Performance|All levels|2025-06-03|2025-06-03|Not required|1.5-2 hours|Improv/sketch comedy performance|$25-40+ CAD|Yuk Yuk's Toronto|In-town (Downtown Toronto, accessible by public transit)|N/A|No|Comedy,Performance|2025-05-29T00:00:00Z
se3|Rivoli Live Music|Intimate indie music performance|https://source.unsplash.com/random/?livemusic|334 Queen St W, Toronto, ON M5V 2A2|Live Music|All levels|2025-06-05|2025-06-05|Not required|2-3 hours|Intimate indie music performance|$15-30+ CAD|The Rivoli|In-town (Queen West, accessible by streetcar)|N/A|No|Music,Live,Indie|2025-05-29T00:00:00Z
se4|Crews & Tangos Drag Show|Drag queen show & dancing|https://source.unsplash.com/random/?dragshow|508 Church St, Toronto, ON M4Y 2C3|Drag Performance|All levels|2025-06-06|2025-06-06|Not required|Late evening|Drag queen show & dancing|$10-20+ cover charge|Crews & Tangos Instagram|In-town (Church-Wellesley Village, accessible by subway)|https://goo.gl/maps/CT|Yes|LGBTQ,Drag,Performance|2025-05-29T00:00:00Z
se5|Jazz Festival Opening|Free outdoor jazz performances|https://source.unsplash.com/random/?jazz|Nathan Phillips Square, Toronto, ON|Music Festival|All levels|2025-06-07|2025-06-07|Not required|Varies by performance|Free outdoor jazz performances|Free|TD Toronto Jazz Festival|In-town (Downtown Toronto, accessible by subway)|N/A|No|Jazz,Music,Festival|2025-05-29T00:00:00Z
se6|Luminato Festival|Arts and creativity festival|https://source.unsplash.com/random/?artsfestival|Various venues across Toronto|Arts Festival|All levels|2025-06-06|2025-06-22|Varies by event|Multi-day festival|Arts and creativity festival with various performances and installations|Varies by event|Luminato Festival|In-town (Varies by venue)|N/A|No|Arts,Festival,Culture|2025-05-29T00:00:00Z
se7|NXNE Festival|Music and gaming festival|https://source.unsplash.com/random/?musicfestival|Various venues in Toronto|Music and Gaming Festival|All levels|2025-06-13|2025-06-15|Varies by event|Multi-day festival|Music and gaming festival|Varies by event|NXNE Music Festival|In-town (Varies by venue)|N/A|No|Music,Gaming,Festival|2025-05-29T00:00:00Z
se8|Aga Khan Museum Visit|Islamic art & architecture exhibition|https://source.unsplash.com/random/?museum|77 Wynford Dr, North York, ON M3C 1K1|Museum Exhibition|All levels|2025-06-15|2025-06-15|Not required|2-3 hours|Islamic art & architecture|$20 CAD|Aga Khan Museum|In-town (North York, accessible by public transit)|N/A|No|Museum,Art,Culture|2025-05-29T00:00:00Z
se9|ROM Evening Exploration|Leisurely museum visit|https://source.unsplash.com/random/?museum|100 Queen's Park, Toronto, ON M5S 2C6|Museum Visit|All levels|2025-06-17|2025-06-17|Not required|2-3 hours|Leisurely museum visit|$25-30 CAD|Royal Ontario Museum|In-town (Bloor-Yorkville, accessible by subway)|N/A|No|Museum,History,Culture|2025-05-29T00:00:00Z
se10|Pride Toronto|Toronto's largest LGBTQ+ celebration|https://source.unsplash.com/random/?pride|Church-Wellesley Village & Downtown|Cultural Festival|All levels|2025-06-20|2025-06-29|N/A|10 days|Pride Parade, Street festivals, Live performances, Art installations, Community events, Family programming|Free-$200|www.pridetoronto.com|Downtown location|https://goo.gl/maps/PT|Yes|LGBTQ,Pride,Festival|2025-05-29T00:00:00Z
se11|TIFF 2025|International film festival|https://source.unsplash.com/random/?filmfestival|TIFF Bell Lightbox & various venues|Film Festival|All levels|2025-09-04|2025-09-14|Various deadlines|11 days|Film premieres, Celebrity appearances, Industry conferences, Public screenings, Special events|$25-500|www.tiff.net|Downtown location|https://goo.gl/maps/TIFF|Yes|Film,Festival,Culture|2025-05-29T00:00:00Z
se12|Taste of Toronto|Food & drink festival|https://source.unsplash.com/random/?foodfestival|Various Toronto venues|Culinary Event|All levels|2025-07-03|2025-07-06|Until sold out|4 days|Restaurant tastings, Chef demonstrations, Cooking classes, Wine/beer sampling|Varies|www.tasteoftoronto.com|Downtown location|N/A|No|Food,Drink,Festival|2025-05-29T00:00:00Z 
