id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated
dt1|Niagara Wine Country Tour|Wine tasting and exploring charming town|https://source.unsplash.com/random/?winery,niagara|Niagara-on-the-Lake, ON|Wine Tasting & Tourism|All levels|2025-06-14|2025-06-14|Not required|Full day|Wine tasting & exploring charming town|Gas, tastings (~$10-25/winery), meals|Town of Niagara-on-the-Lake Tourism|~1.5-2 hours driving|https://goo.gl/maps/NOTL|No (General event)|Wine,Tourism,Day Trip|2025-05-29T00:00:00Z
dt2|Rattlesnake Point Hiking|Scenic escarpment hiking adventure|https://source.unsplash.com/random/?hiking,cliff|Rattlesnake Point Conservation Area, Milton, ON|Outdoor Recreation|All levels|2025-06-21|2025-06-21|Not required|Full day|Scenic escarpment hiking|Park entry fee (~$10-15) plus gas|Conservation Halton - Rattlesnake Point|~1 hour driving|https://goo.gl/maps/RP|No (General event)|Hiking,Nature,Outdoor|2025-05-29T00:00:00Z
dt3|Stratford Festival|World-class theatre day trip|https://source.unsplash.com/random/?theatre,stratford|Stratford, ON|Theatre & Culture|All levels|2025-06-28|2025-06-28|Book in advance recommended|Full day|World-class theatre day trip|Gas, theatre tickets, meals|Stratford Festival|~2 hours driving|https://goo.gl/maps/SF|No (General event)|Theatre,Culture,Arts|2025-05-29T00:00:00Z
dt4|Muskoka Lakes Tour|Scenic lakes & charming towns exploration|https://source.unsplash.com/random/?muskoka,lake|Gravenhurst, ON|Scenic Tour|All levels|2025-07-05|2025-07-05|Not required|Full day|Scenic lakes & charming towns|Gas, meals, activities (e.g., boat tour, rental)|Township of Muskoka Lakes|~2-2.5 hours driving|https://goo.gl/maps/ML|No (General event)|Lakes,Scenic,Tourism|2025-05-29T00:00:00Z
dt5|Elora Gorge Adventure|Hiking, swimming, and tubing at Elora Gorge|https://source.unsplash.com/random/?gorge,elora|7400 Wellington County Rd 21, Elora, ON N0B 1S0|Outdoor Recreation|All levels|2025-07-19|2025-07-19|Not required|Full day|Hiking, swimming, tubing|Park entry fees may apply|Grand River Conservation Authority - Elora Gorge|~1.5 hours driving|https://maps.app.goo.gl/M9P2R1T4V6X8Z0Y1|No (General event)|Hiking,Swimming,Adventure|2025-05-29T00:00:00Z
dt6|Wasaga Beach Visit|Day at the longest freshwater beach|https://source.unsplash.com/random/?beach,wasaga|Wasaga Beach, ON|Beach Day|All levels|2025-07-26|2025-07-26|Not required|Full day|Longest freshwater beach|Free, parking fees may apply|Town of Wasaga Beach Tourism|~1.5-2 hours driving|https://maps.app.goo.gl/C2X4Z7B1F3J5K9L0|No (General event)|Beach,Swimming,Summer|2025-05-29T00:00:00Z
dt7|Bruce Peninsula National Park Visit|Hiking & swimming in turquoise waters|https://source.unsplash.com/random/?brucepeninsula|Bruce Peninsula National Park, Tobermory, ON|Outdoor Adventure|All levels|2025-08-02|2025-08-02|Not required|Full day|Hiking & swimming in turquoise waters|Gas, park fees, meals|Parks Canada - Bruce Peninsula National Park|~3-3.5 hours driving|https://maps.app.goo.gl/F6A2V5H8C1J3K7L9|No (General event)|Hiking,Swimming,National Park|2025-05-29T00:00:00Z
dt8|Prince Edward County Tour|Wine tasting and beach day|https://source.unsplash.com/random/?princeedward,wine|Picton, ON|Wine & Beach|All levels|2025-08-04|2025-08-04|Not required|Full day|Wineries, beautiful beaches (Sandbanks Provincial Park), and charming small towns|Gas, wine tastings ($10-20/winery), Sandbanks entry (~$20/car), meals|Prince Edward County Tourism|~2-2.5 hours driving|https://maps.app.goo.gl/T5U6V7W8X9Y1Z2A3|No (General event)|Wine,Beach,Tourism|2025-05-29T00:00:00Z
dt9|Blue Mountain Summer Visit|Summer resort activities and adventure|https://source.unsplash.com/random/?bluemountain,summer|Blue Mountain Village, 190 Gord Canning Dr, The Blue Mountains, ON L9Y 0V9|Resort Activities|All levels|2025-08-16|2025-08-16|Not required|Full day|Summer resort activities|Gas, activity fees, meals|Blue Mountain Resort|~2-2.5 hours driving|https://maps.app.goo.gl/Q5T7R9W1V3X5Z7Y0|No (General event)|Resort,Summer,Activities|2025-05-29T00:00:00Z
dt10|Montreal City Break|Long weekend urban exploration|https://source.unsplash.com/random/?montreal|Montreal, QC|Urban Exploration|All levels|2025-08-01|2025-08-04|Book accommodation in advance|Multi-day trip|Vibrant city, culture & nightlife|Accommodation, meals, activities|Tourisme Montréal|~5.5-6 hours driving or ~1 hour flying|https://maps.app.goo.gl/9y5H6u6p3F7x7Y4F8|Yes (Montreal has a significant LGBTQ+ scene)|City,Culture,Long Weekend|2025-05-29T00:00:00Z
