id|title|description|image|location|eventType|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction
1|Pride Toronto 2024|Annual celebration of Toronto's LGBTQ+ community with parades, performances, and community events|https://source.unsplash.com/random/?pride,toronto|Church-Wellesley Village|community|2024-06-21|2024-06-23||3 days|Parades, street fairs, performances|Free|https://www.pridetoronto.com|varies|https://goo.gl/maps/church-wellesley|true|pride,festival,community,celebration|2024-05-31|festival|{"instagram":"pridetoronto","facebook":"PrideToronto","twitter":"PrideToronto"}|false|wheelchair accessible,ASL interpretation|they/them|all-ages
2|Drag Brunch at Glad Day|Weekly drag performances with brunch at Toronto's iconic LGBTQ+ bookstore|https://source.unsplash.com/random/?drag,performance|499 Church St, Toronto|performance|2024-06-01|2024-12-31|2024-05-31|2 hours|Drag performances, brunch menu|$25|https://gladdaybookshop.com|15 mins|https://goo.gl/maps/gladday|true|drag,brunch,performance,bookstore|2024-05-31|drag|{"instagram":"gladdaybookshop"}|true|wheelchair accessible,gender-neutral facilities|all|19+
3|Queer Dance Party|Monthly dance party celebrating LGBTQ+ music and culture|https://source.unsplash.com/random/?dance,party|120 Church St, Toronto|nightlife|2024-06-15|2024-06-16||4 hours|DJ sets, dance floor, themed nights|$15|https://queerdanceparty.to|20 mins|https://goo.gl/maps/queerdance|true|dance,music,nightlife,party|2024-05-31|party|{"instagram":"queerdanceTO"}|true|gender-neutral facilities|all|19+
4|LGBTQ+ Film Festival|Annual showcase of queer cinema from around the world|https://source.unsplash.com/random/?film,festival|TIFF Bell Lightbox, Toronto|community|2024-07-01|2024-07-10||10 days|Film screenings, Q&As, workshops|$12-25|https://insideout.ca|30 mins|https://goo.gl/maps/tiff|true|film,arts,culture,cinema|2024-05-31|arts|{"instagram":"insideoutfestival"}|false|wheelchair accessible,ASL interpretation,quiet space|all|varies
5|Rainbow Sports League|Weekly LGBTQ+ inclusive sports meetups|https://source.unsplash.com/random/?sports,team|West End YMCA, Toronto|social|2024-06-01|2024-08-31||2 hours|Various sports activities|$10|https://rainbowsports.to|25 mins|https://goo.gl/maps/ymca|true|sports,social,fitness,community|2024-05-31|sports|{"instagram":"rainbowsportsTO"}|true|wheelchair accessible|all|18+
6|STRAPS ARM WRESTLING|A trans-focused arm wrestling group that welcomes everyone, including allies, provided they behave respectfully|https://source.unsplash.com/random/?armwrestling,queer|Houndstooth, 818 College St, Toronto, ON M6G 1C8|social|2025-05-15|2025-05-15|2025-05-14|3.5 hours|Mini-tournaments with instructors teaching fundamentals|$15.69-19.08|N/A|15 mins|https://maps.app.goo.gl/9TqJbU5J7R2Q5Y8Q6|true|arm wrestling,trans,queer,drop-in,social,competition,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
7|FIELD OF DREAMERS COOPERATIVE SOFTBALL|An inclusive, volunteer-run, not-for-profit recreational softball league for queer, trans, and non-binary people|https://source.unsplash.com/random/?softball,queer|Various Toronto Locations|social|2025-05-01|2025-10-31|2025-02-28|Season-long|Non-competitive play until playoffs, social events included|Sliding scale|https://fieldofdreamers.org/|varies|N/A|true|softball,league,queer,trans,non-binary,bipoc,recreational,community,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
8|LEARNSOFTBALLTO|A queer-inclusive and queer-friendly league that welcomes adult women, trans, and non-binary players|https://source.unsplash.com/random/?softball,inclusive|Various Toronto Locations|social|2025-05-01|2025-09-30|2025-02-28|Season-long|Players rotate teams each season for social connections|Not specified|N/A|varies|N/A|true|softball,women,trans,non-binary,league,social,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
9|NOTSOAMAZON SOFTBALL LEAGUE|A league for queer-positive women, trans*, and gender-neutral individuals|https://source.unsplash.com/random/?softball,women|Coronation Park & Riverdale Park West|social|2025-04-01|2025-09-30|2025-02-28|Season-long|Non-competitive play until playoff tournament|$99.00|http://www.notsoamazon.com/|10-15 mins|https://maps.app.goo.gl/r69421xV1z7n5Y3J7|true|softball,women,trans,gender-neutral,league,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
10|QUEER SOFTBALL BABIES|A drop-in group that welcomes queer people, with trans and non-binary people and women prioritized|https://source.unsplash.com/random/?softball,queer|Various Toronto Locations|social|2025-05-17|2025-09-30||1.5 hours|Drop-in casual play and practices|Free-$100|N/A|varies|N/A|true|softball,queer,trans,non-binary,women,drop-in,recreational,inclusive|2025-05-31|sports|{}|true|not specified|all|18+
