id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|matchingId
dt1|Algonquin Park Day Trip|Nature and wildlife exploration|https://source.unsplash.com/random/?algonquin|Algonquin Provincial Park|Nature & Wildlife|All levels|2025-06-01|2025-09-30|Not required|Full day|Hiking trails, wildlife viewing, canoeing opportunities|Park entry fee (~$21/vehicle/day)|https://www.algonquinpark.on.ca/index.php|~3 hours driving|N/A|No (General event)|Nature,Wildlife,Hiking|2025-05-29T00:00:00Z|
dt2|Bruce Peninsula National Park Visit|Hiking & swimming in turquoise waters|https://source.unsplash.com/random/?brucepeninsula|Bruce Peninsula National Park, Tobermory, ON|Outdoor Adventure|All levels|2025-08-02|2025-08-02|Not required|Full day|Hiking & swimming in turquoise waters|Gas, park fees, meals|https://parks.canada.ca/pn-np/on/bruce|~3-3.5 hours driving|N/A|No (General event)|Hiking,Swimming,National Park|2025-05-29T00:00:00Z|
dt3|Rattlesnake Point Labour Day Hike|Labour Day hiking adventure|https://source.unsplash.com/random/?hiking,escarpment|Rattlesnake Point Conservation Area, 7200 Appleby Line, Milton, ON L9T 2Y1|Outdoor Recreation|All levels|2025-09-01|2025-09-01|Not required|Full day|Scenic escarpment hiking|Park entry fee (~$10-15) plus gas|N/A|~1 hour driving|N/A|No (General event)|Hiking,Nature,Holiday|2025-05-29T00:00:00Z|
dt4|Wasaga Beach Visit|Day at the longest freshwater beach|https://source.unsplash.com/random/?beach,wasaga|Wasaga Beach, ON|Beach Day|All levels|2025-07-26|2025-07-26|Not required|Full day|Longest freshwater beach|Free, parking fees may apply|https://www.wasagabeach.com/en/index.aspx|~1.5-2 hours driving|N/A|No (General event)|Beach,Swimming,Summer|2025-05-29T00:00:00Z|
dt5|Sauble Beach Adventure|Lake Huron beach and dunes|https://source.unsplash.com/random/?beach,dunes|Sauble Beach, ON|Beach & Nature|All levels|2025-06-15|2025-09-15|Not required|Full day|Beach activities, dune exploration, sunset views|Parking fees (~$20/day)|https://www.saublebeach.com|~3.5 hours driving|N/A|No (General event)|Beach,Dunes,Sunset|2025-05-29T00:00:00Z|
dt6|Long Point Provincial Park|World Biosphere Reserve beach|https://source.unsplash.com/random/?beach,nature|Long Point Provincial Park, ON|Nature & Beach|All levels|2025-06-15|2025-09-15|Not required|Full day|Beach activities, bird watching, nature trails|Park entry fee (~$21/vehicle)|https://www.ontarioparks.ca/park/longpoint|~2.5 hours driving|N/A|No (General event)|Beach,Nature,Wildlife|2025-05-29T00:00:00Z|
dt10|Niagara Wine Country Tour|Wine tasting and exploring charming town|https://source.unsplash.com/random/?winery,niagara|Niagara-on-the-Lake, ON|Wine Tasting & Tourism|All levels|2025-06-14|2025-06-14|Not required|Full day|Wine tasting & exploring charming town|Gas, tastings (~$10-25/winery), meals|https://www.niagaraonthelake.com|~1.5-2 hours driving|http://maps.google.co.uk/maps?q=cwmcarn&ie=UTF8&hq&hnear=Cwmcarn,+Crosskeys,+Newport,+Caerphilly,+United+Kingdom&gl=uk&ll=51.50917,-3.183975&spn=0.300008,0.617294&z=11|No (General event)|Wine,Tourism,Day Trip|2025-05-29T00:00:00Z|
dt11|Prince Edward County Tour|Wine tasting and beach day|https://source.unsplash.com/random/?princeedward,wine|Picton, ON|Wine & Beach|All levels|2025-08-04|2025-08-04|Not required|Full day|Wineries, beautiful beaches (Sandbanks Provincial Park), and charming small towns|Gas, wine tastings ($10-20/winery), Sandbanks entry (~$20/car), meals|https://www.prince-edward-county.com|~2-2.5 hours driving|N/A|No (General event)|Wine,Beach,Tourism|2025-05-29T00:00:00Z|
dt12|Blue Mountain Summer Visit|Summer resort activities and adventure|https://source.unsplash.com/random/?bluemountain,summer|Blue Mountain Village, 190 Gord Canning Dr, The Blue Mountains, ON L9Y 0V9|Resort Activities|All levels|2025-08-16|2025-08-16|Not required|Full day|Summer resort activities|Gas, activity fees, meals|https://www.bluemountain.ca|~2-2.5 hours driving|N/A|No (General event)|Resort,Summer,Activities|2025-05-29T00:00:00Z|
dt13|Blue Mountain & Scenic Caves Adventure|Mountain resort and cave exploration|https://source.unsplash.com/random/?caves,mountain|Blue Mountain Village, 190 Gord Canning Dr, The Blue Mountains, ON L9Y 0V9|Outdoor Adventure|All levels|2025-09-06|2025-09-06|Not required|Full day|Summer resort activities, hiking, suspension bridge|Gas, Scenic Caves admission (~$30-40 CAD), meals|https://sceniccaves.com/|~2-2.5 hours driving|N/A|No (General event)|Caves,Hiking,Adventure|2025-05-29T00:00:00Z|
dt14|Collingwood Adventure|Mountain biking and spa retreat|https://source.unsplash.com/random/?biking,spa|Collingwood, ON|Adventure & Wellness|All levels|2025-06-01|2025-09-30|Book spa in advance|Full day|Mountain biking trails, Scandinavian spa|Trail fees, spa costs (~$70-90)|https://www.collingwood.ca|~2 hours driving|N/A|No (General event)|Biking,Spa,Adventure|2025-05-29T00:00:00Z|
dt15|Elora Gorge Adventure|Hiking, swimming, and tubing at Elora Gorge|https://source.unsplash.com/random/?gorge,elora|7400 Wellington County Rd 21, Elora, ON N0B 1S0|Outdoor Recreation|All levels|2025-07-19|2025-07-19|Not required|Full day|Hiking, swimming, tubing|Park entry fees may apply|N/A|~1.5 hours driving|N/A|No (General event)|Hiking,Swimming,Adventure|2025-05-29T00:00:00Z|
dt16|Crawford Lake Conservation|Reconstructed Iroquoian village|https://source.unsplash.com/random/?village,lake|Crawford Lake Conservation Area, 3115 Conservation Rd, Milton, ON|Historical & Nature|All levels|2025-06-01|2025-10-31|Not required|Full day|Longhouse village, meromictic lake, trails|Entry fee (~$10/person)|N/A|~1 hour driving|N/A|No (General event)|History,Nature,Indigenous|2025-05-29T00:00:00Z|
