id|title|description|image|location|eventType|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction
as1|Drop-In Basketball (Adult 17+)|Recreational drop-in basketball at Toronto Pan Am Sports Centre|https://source.unsplash.com/random/?basketball|Toronto Pan Am Sports Centre (TPASC), 875 Morningside Ave, Toronto, ON M1C 0C7|sports|All levels|2025-06-01|2025-06-30|Not required|1.5 hours per session|Recreational drop-in basketball|City of Toronto pricing|https://www.toronto.ca/recreation|~45-60 minutes driving/public transit (Scarborough)|https://www.google.com/maps/search/?api=1&query=Toronto%20Pan%20Am%20Sports%20Centre|No|Basketball,Drop-in,Adult,Recreation|2025-05-29T00:00:00Z|basketball|{}|true|weekly|wheelchair accessible|all
as2|Rainbow Hoops TO|Basketball league for queer women, trans, and non-binary folks|https://source.unsplash.com/random/?basketball,lgbtq|Various locations|sports|All levels|2025-10-01|2026-05-31|2025-09-01|Varies by game|Basketball league for queer women, trans, and non-binary folks|Registration fees apply|https://www.yohomo.ca|In-town (Varies by location)||Yes|Basketball,LGBTQ+,League,Inclusive|2025-05-29T00:00:00Z|basketball|{}|true|seasonal|varies by location|all
as3|SQWISH|Drop-in basketball for trans and queer people|https://source.unsplash.com/random/?basketball,lgbtq|Central Technical School, 725 Bathurst St, Toronto, ON M5S 2R5|sports|All levels|2025-09-01|2026-06-30|Not required|Varies by game|Drop-in basketball for trans and queer people|Drop-in fees may apply|https://www.yohomo.ca|In-town (Downtown Toronto)|https://www.google.com/maps/search/?api=1&query=Central%20Technical%20School|Yes|Basketball,LGBTQ+,Drop-in,Inclusive|2025-05-29T00:00:00Z|basketball|{}|true|weekly|wheelchair accessible|all
as4|Toronto Basketball Network|Year-round pickup games and leagues|https://source.unsplash.com/random/?basketball,community|Various community centers|sports|All levels|2025-01-01|2025-12-31|Check website|2 hours per session|3-on-3 and 5-on-5 leagues, weekly skills development|$8 per session, $200/season|https://www.torontobasketball.com|Varies by location|https://www.google.com/maps/search/?api=1&query=Various%20Community%20Centers|No|Basketball,League,Skills,Development|2025-05-29T00:00:00Z|basketball|{}|true|weekly|varies by location|all
as5|North Toronto Soccer|Recreational soccer leagues for various age groups|https://source.unsplash.com/random/?soccer,youth|Eglinton Park, 200 Eglinton Ave W, Toronto, ON M4R 1C3|sports|All levels|2025-07-05|2025-09-06|Check website|Varies by game|Recreational soccer leagues for various age groups (U4 to U18)|Registration fees apply|https://www.northtorontosoccer.com|In-town (Midtown Toronto)|https://www.google.com/maps/search/?api=1&query=Eglinton%20Park|No|Soccer,Youth,Recreation,League|2025-05-29T00:00:00Z|soccer|{}|true|seasonal|outdoor field|all
as6|Downtown Soccer Toronto|LGBTQ+ friendly soccer league|https://source.unsplash.com/random/?soccer,lgbtq|Various locations|sports|All levels|2025-06-01|2025-09-30|Check website|Varies by league/game|LGBTQ+ friendly soccer league|Registration fees apply|https://www.torontospartan.com|In-town (Varies by location)||Yes|Soccer,LGBTQ+,League,Inclusive|2025-05-29T00:00:00Z|soccer|{}|true|seasonal|varies by location|all
as7|GTA Soccer Meetup|Weekly pickup games and mini-tournaments|https://source.unsplash.com/random/?soccer,pickup|Various locations throughout GTA|sports|Beginner to Advanced|2025-01-01|2025-12-31|Not required|2 hours per session|Indoor winter league at Monarch Park Stadium, outdoor summer sessions|$5-10 per session|https://www.meetup.com/gta-soccer|Varies by location|https://www.google.com/maps/search/?api=1&query=Various%20Locations|No|Soccer,Pickup,Tournament,Casual|2025-05-29T00:00:00Z|soccer|{}|true|weekly|varies by location|all
as8|Toronto Spartan Volleyball League|LGBTQ+ friendly volleyball league|https://source.unsplash.com/random/?volleyball,lgbtq|Various locations|sports|All levels|2025-09-01|2026-04-30|Check website|Varies by league/game|LGBTQ+ friendly volleyball league with multiple divisions|Registration fees apply|https://www.torontospartan.com|In-town (Varies by location)||Yes|Volleyball,LGBTQ+,League,Inclusive|2025-05-29T00:00:00Z|volleyball|{}|true|seasonal|varies by location|all
as9|Beach Volleyball Toronto|Beach volleyball leagues and drop-in games|https://source.unsplash.com/random/?volleyball,beach|Woodbine Beach, 1675 Lake Shore Blvd E, Toronto, ON M4L 3W6|sports|All levels|2025-06-01|2025-09-30|Check website|Varies by league/game|Beach volleyball leagues and drop-in games|League: $150/season, Drop-in: $10/day|https://www.torontobeachvolleyball.com|In-town (East End)|https://www.google.com/maps/search/?api=1&query=Woodbine%20Beach|No|Volleyball,Beach,League,Drop-in|2025-05-29T00:00:00Z|volleyball|{}|true|seasonal|beach access|all
as10|Toronto Sport & Social Club Volleyball|Co-ed recreational volleyball leagues|https://source.unsplash.com/random/?volleyball,indoor|Various locations|sports|All levels|2025-09-01|2026-04-30|Check website|Varies by league/game|Co-ed recreational volleyball leagues|Registration fees apply|https://www.torontossc.com|In-town (Varies by location)||No|Volleyball,Co-ed,League,Recreation|2025-05-29T00:00:00Z|volleyball|{}|true|seasonal|varies by location|all
