id,title,description,image,location,type,startDate,endDate,registrationDeadline,duration,activityDetails,cost,website,travelTime,googleMapLink,lgbtqFriendly,tags,lastUpdated,category,eventType,neighborhood,season,priceRange,source
1,Toronto Island Park Exploration,"Escape the city bustle with a ferry ride to Toronto Islands. Enjoy beaches, walking trails, Centreville Amusement Park, and stunning city views.",https://source.unsplash.com/random/?Toronto%20Island%20Park%20Exploration,88,3,2025-05-01,2025-09-30,,varies,"Escape the city bustle with a ferry ride to Toronto Islands. Enjoy beaches, walking trails, Centreville Amusement Park, and stunning city views.",5,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,,,false,"must-not-miss,outdoor,family-friendly",2025-05-28T14:52:12.941Z,3,activity,Toronto Islands,year-round,varies,activity
2,High Park Cherry Blossoms,Experience the magical spring cherry blossom season in Toronto's largest public park. Best viewed in late April to early May.,https://source.unsplash.com/random/?High%20Park%20Cherry%20Blossoms,89,3,2025-04-20,2025-05-10,,varies,Experience the magical spring cherry blossom season in Toronto's largest public park. Best viewed in late April to early May.,1,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/high-park/,,,false,"seasonal,outdoor,photography,free",2025-05-28T14:52:12.941Z,3,activity,High Park,year-round,varies,activity
3,Art Gallery of Ontario,Explore one of North America's largest art museums featuring an extensive collection of Canadian art and regular international exhibitions.,https://source.unsplash.com/random/?Art%20Gallery%20of%20Ontario,98,1,2025-01-01,2025-12-31,,varies,Explore one of North America's largest art museums featuring an extensive collection of Canadian art and regular international exhibitions.,2,https://ago.ca,,,false,"art,culture,indoor,rainy-day",2025-05-28T14:52:12.941Z,1,activity,Downtown Toronto,year-round,varies,activity
4,St. Lawrence Market Food Tour,"Discover Toronto's historic market featuring over 120 vendors selling fresh food, prepared meals, and unique local products.",https://source.unsplash.com/random/?St.%20Lawrence%20Market%20Food%20Tour,120,2,2025-01-01,2025-12-31,,varies,"Discover Toronto's historic market featuring over 120 vendors selling fresh food, prepared meals, and unique local products.",2,https://www.stlawrencemarket.com,,,false,"food,history,indoor,guided-tour",2025-05-28T14:52:12.941Z,2,activity,St. Lawrence,year-round,varies,activity
5,Kensington Market Walking Tour,"Explore Toronto's most diverse and eclectic neighborhood known for its international food scene, vintage shops, and street art.",https://source.unsplash.com/random/?Kensington%20Market%20Walking%20Tour,123,8,2025-01-01,2025-12-31,,varies,"Explore Toronto's most diverse and eclectic neighborhood known for its international food scene, vintage shops, and street art.",1,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/kensington-market/,,,false,"culture,food,walking,free",2025-05-28T14:52:12.941Z,8,activity,Kensington Market,year-round,varies,activity
6,CN Tower EdgeWalk,Experience the world's highest hands-free walk on a 5 ft wide ledge encircling the top of the CN Tower's main pod.,https://source.unsplash.com/random/?CN%20Tower%20EdgeWalk,145,4,2025-05-01,2025-10-31,,varies,Experience the world's highest hands-free walk on a 5 ft wide ledge encircling the top of the CN Tower's main pod.,3,https://www.cntower.ca/en-ca/plan-your-visit/attractions/edgewalk.html,,,false,"adventure,thrill,outdoor,unique",2025-05-28T14:52:12.941Z,4,activity,Entertainment District,year-round,varies,activity
7,Royal Ontario Museum,"Discover world culture and natural history through extensive collections of dinosaurs, minerals, and international artifacts.",https://source.unsplash.com/random/?Royal%20Ontario%20Museum,136,1,2025-01-01,2025-12-31,,varies,"Discover world culture and natural history through extensive collections of dinosaurs, minerals, and international artifacts.",2,https://www.rom.on.ca,,,false,"museum,education,indoor,family-friendly",2025-05-28T14:52:12.941Z,1,activity,Yorkville,year-round,varies,activity
8,Distillery District Art Galleries,"Wander through the historic Victorian industrial architecture while exploring art galleries, boutiques, and cafes.",https://source.unsplash.com/random/?Distillery%20District%20Art%20Galleries,119,1,2025-01-01,2025-12-31,,varies,"Wander through the historic Victorian industrial architecture while exploring art galleries, boutiques, and cafes.",1,https://www.thedistillerydistrict.com,,,false,"art,history,walking,free",2025-05-28T14:52:12.941Z,1,activity,Distillery District,year-round,varies,activity
9,Toronto Waterfront Trail Cycling,Bike along the Martin Goodman Trail offering stunning lake views and connecting multiple waterfront parks and beaches.,https://source.unsplash.com/random/?Toronto%20Waterfront%20Trail%20Cycling,111,3,2025-04-01,2025-10-31,,varies,Bike along the Martin Goodman Trail offering stunning lake views and connecting multiple waterfront parks and beaches.,1,https://waterfronttrail.org,,,false,"cycling,outdoor,active,free",2025-05-28T14:52:12.941Z,3,activity,Waterfront,year-round,varies,activity
10,Yorkville Shopping Experience,"Explore Toronto's most upscale shopping district featuring luxury brands, boutiques, and art galleries.",https://source.unsplash.com/random/?Yorkville%20Shopping%20Experience,93,6,2025-01-01,2025-12-31,,varies,"Explore Toronto's most upscale shopping district featuring luxury brands, boutiques, and art galleries.",3,https://bloor-yorkville.com,,,false,"shopping,luxury,fashion",2025-05-28T14:52:12.941Z,6,activity,Yorkville,year-round,varies,activity
11,Hockey Hall of Fame,Celebrate Canada's national sport at this historic site featuring interactive exhibits and the Stanley Cup.,https://source.unsplash.com/random/?Hockey%20Hall%20of%20Fame,152,5,2025-01-01,2025-12-31,,varies,Celebrate Canada's national sport at this historic site featuring interactive exhibits and the Stanley Cup.,2,https://www.hhof.com,,,false,"sports,history,indoor,family-friendly",2025-05-28T14:52:12.941Z,5,activity,Financial District,year-round,varies,activity
