id|title|description|image|location|eventType|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|subcategory|socialMedia|recurring|venueAccessibility|pronouns|ageRestriction|skillLevel|recurrenceType|recurrencePattern|specificDates|daysOfWeek|time|weekOfMonth
1|Pride Toronto 2025|Annual celebration of Toronto's LGBTQ+ community with parades, performances, and community events|https://source.unsplash.com/random/?pride,toronto|Church-Wellesley Village|community|2025-06-27|2025-06-29||3 days|Parades, street fairs, performances|Free|https://www.pridetoronto.com|varies|N/A|true|pride,festival,community,celebration|2025-07-05T17:07:00-04:00|festival|"{""instagram"":""pridetoronto"",""facebook"":""PrideToronto"",""twitter"":""PrideToronto""}"|false|wheelchair accessible,ASL interpretation|they/them|all-ages|All levels|recurring|Annual||||
2|Drag Brunch at Glad Day|Weekly drag performances with brunch at Toronto's iconic LGBTQ+ bookstore|https://source.unsplash.com/random/?drag,performance|499 Church St, Toronto|performance|2025-07-06|2026-05-01|Drop-in|2 hours|Drag performances, brunch menu - Sundays 12PM|$25|https://www.gladday.ca|15 mins|N/A|true|drag,brunch,performance,bookstore|2025-07-05T17:07:00-04:00|drag|"{""instagram"":""gladdaybookshop""}"|true|wheelchair accessible,gender-neutral facilities|all|19+|All levels|recurring|Weekly||||
3|Queer Dance Party|Monthly dance party celebrating LGBTQ+ music and culture|https://source.unsplash.com/random/?dance,party|120 Church St, Toronto|nightlife|2025-07-05|2026-05-01|Drop-in|4 hours|DJ sets, dance floor, themed nights - First Saturday each month 9PM|$15|https://queerdanceparty.to|20 mins|N/A|true|dance,music,nightlife,party|2025-07-05T17:07:00-04:00|party|"{""instagram"":""queerdanceTO""}"|true|gender-neutral facilities|all|19+|All levels|recurring|Monthly||||
4|Inside Out LGBTQ+ Film Festival|Annual showcase of queer cinema from around the world|https://source.unsplash.com/random/?film,festival|TIFF Bell Lightbox, Toronto|community|2025-10-10|2025-10-20||10 days|Film screenings, Q&As, workshops|$12-25|https://insideout.ca|30 mins|N/A|true|film,arts,culture,cinema|2025-07-05T17:07:00-04:00|arts|"{""instagram"":""insideoutfestival""}"|false|wheelchair accessible,ASL interpretation,quiet space|all|varies|All levels|recurring|Annual||||
5|Rainbow Sports League|Weekly LGBTQ+ inclusive sports meetups|https://source.unsplash.com/random/?sports,team|West End YMCA, Toronto|social|2025-07-03|2026-04-30|Registration required|2 hours|Various sports activities - Thursdays 7PM|$10|https://rainbowsports.to|25 mins|http://maps.google.com.au/maps?hl=en&ie=UTF8&ll=-25.335448,135.745076&spn=42.430963,86.572266&t=h&z=4|true|sports,social,fitness,community|2025-07-05T17:07:00-04:00|sports|"{""instagram"":""rainbowsportsTO""}"|true|wheelchair accessible|all|18+|All levels|recurring|Weekly||||
6|Trans Support Group - The 519|Weekly support group for trans and non-binary individuals|https://source.unsplash.com/random/?support,trans|519 Church St, Toronto|community|2025-07-02|2026-04-30||1.5 hours|Peer support, resources, community building - Wednesdays 7PM|Free|https://www.the519.org|10 mins|N/A|true|trans,support,community,resources|2025-07-05T17:07:00-04:00|support|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|18+|All levels|recurring|Weekly||||
7|Lesbian Book Club|Monthly book club focusing on lesbian and queer women's literature|https://source.unsplash.com/random/?books,lesbian|Glad Day Bookshop, 499 Church St|social|2025-07-15|2026-04-15||2 hours|Book discussions, author readings - Third Tuesday each month 7PM|$5|https://www.gladday.ca|15 mins|N/A|true|lesbian,books,literature,social|2025-07-05T17:07:00-04:00|social|"{""instagram"":""gladdaybookshop""}"|true|wheelchair accessible|all|18+|All levels|recurring|Monthly||||
8|Queer Youth Drop-In|Weekly drop-in space for LGBTQ+ youth|https://source.unsplash.com/random/?youth,queer|The 519, 519 Church St|community|2025-07-04|2026-04-30||3 hours|Activities, peer support, resources - Fridays 4-7PM|Free|https://www.the519.org|10 mins|N/A|true|youth,queer,support,community|2025-07-05T17:07:00-04:00|youth|"{""instagram"":""the519""}"|true|wheelchair accessible,gender-neutral facilities|all|13-29|All levels|recurring|Weekly||||
9|Drag Queen Storytime|Monthly storytime for families with drag performers|https://source.unsplash.com/random/?drag,storytime|Toronto Public Library - Church-Yonge Corridor|community|2025-07-12|2026-04-12||1 hour|Inclusive stories, songs, activities - Second Saturday each month 2PM|Free|https://www.torontopubliclibrary.ca|5 mins|N/A|true|drag,family,storytime,inclusive|2025-07-05T17:07:00-04:00|family|"{""instagram"":""torontolibrary""}"|true|wheelchair accessible,ASL interpretation|all|all-ages|All levels|recurring|Monthly||||
10|Bears Night Out|Monthly social event for bears and their admirers|https://source.unsplash.com/random/?bears,social|Woody's Bar, 467 Church St|nightlife|2025-07-11|2026-04-11||4 hours|Social mixer, drinks, music - Second Friday each month 8PM|$10|https://woodysbar.ca|10 mins|N/A|true|bears,gay,social,nightlife|2025-07-05T17:07:00-04:00|social|"{""instagram"":""woodysbar""}"|true|wheelchair accessible|all|19+|All levels|recurring|Monthly||||
