name,schedule_type,day_of_week,time,duration_minutes,location,cost_cad,description,frequency,is_recurring,priority,networking_potential,energy_level,tags
Beginner Adult Class (Coach Neel),tennis_schedule,Saturday,8:00 AM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Shivya),tennis_schedule,Saturday,8:00 AM,60,"Park Lawn Bubble Rink Tennis Courts, 340 Park Lawn Rd, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Omar),tennis_schedule,Saturday,10:00 AM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner 1.5 Adult Class (Coach Niki) - Indoor,tennis_schedule,Saturday,1:00 PM,60,"Crescent, 2365 Bayview Ave, Toronto (indoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Jamal),tennis_schedule,Saturday,4:00 PM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Ali),tennis_schedule,Sunday,10:00 AM,60,"Riverdale Collegiate Institute, 1094 Gerrard St E, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Jamal),tennis_schedule,Sunday,1:00 PM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner 1.5 Adult Class (Coach Hesh) - Indoor,tennis_schedule,Sunday,7:00 PM,60,"Crescent, 2365 Bayview Ave, Toronto (indoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Shivya),tennis_schedule,Monday,12:00 PM,60,"Park Lawn Bubble Rink Tennis Courts, 340 Park Lawn Rd, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Ali),tennis_schedule,Monday,6:00 PM,60,"Riverdale Collegiate Institute, 1094 Gerrard St E, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
Beginner Adult Class (Coach Jamal),tennis_schedule,Tuesday,6:00 PM,60,"Harbord Collegiate Institute, 286 Harbord St, Toronto (outdoor)",25.0,Tennis class focusing on technique and gameplay,weekly,True,8,6,high,"fitness, recurring, tennis, sports"
