id|title|description|image|location|type|skillLevel|startDate|endDate|registrationDeadline|duration|activityDetails|cost|website|travelTime|googleMapLink|lgbtqFriendly|tags|lastUpdated|matchingId
dt1|Algonquin Park Day Trip|Nature and wildlife exploration|https://source.unsplash.com/random/?algonquin|Algonquin Provincial Park|Nature & Wildlife|All levels|2025-06-01|2025-09-30|Not required|Full day|Hiking trails, wildlife viewing, canoeing opportunities|Park entry fee (~$21/vehicle/day)|https://www.algonquinpark.on.ca|~3 hours driving|https://goo.gl/maps/algonquin|No (General event)|Nature,Wildlife,Hiking|2025-05-29T00:00:00Z|dt1_match_dt1_102991
dt2|Bruce Peninsula National Park Visit|Hiking & swimming in turquoise waters|https://source.unsplash.com/random/?brucepeninsula|Bruce Peninsula National Park, Tobermory, ON|Outdoor Adventure|All levels|2025-08-02|2025-08-02|Not required|Full day|Hiking & swimming in turquoise waters|Gas, park fees, meals|https://parks.canada.ca/pn-np/on/bruce|~3-3.5 hours driving|https://maps.app.goo.gl/F6A2V5H8C1J3K7L9|No (General event)|Hiking,Swimming,National Park|2025-05-29T00:00:00Z|dt13_match_dt2_103226
dt3|Rattlesnake Point Labour Day Hike|Labour Day hiking adventure|https://source.unsplash.com/random/?hiking,escarpment|Rattlesnake Point Conservation Area, 7200 Appleby Line, Milton, ON L9T 2Y1|Outdoor Recreation|All levels|2025-09-01|2025-09-01|Not required|Full day|Scenic escarpment hiking|Park entry fee (~$10-15) plus gas|https://www.conservationhalton.ca/rattlesnake-point|~1 hour driving|https://maps.app.goo.gl/T5U6V7W8X9Y1Z2A3|No (General event)|Hiking,Nature,Holiday|2025-05-29T00:00:00Z|dt24_match_dt3_103666
dt4|Wasaga Beach Visit|Day at the longest freshwater beach|https://source.unsplash.com/random/?beach,wasaga|Wasaga Beach, ON|Beach Day|All levels|2025-07-26|2025-07-26|Not required|Full day|Longest freshwater beach|Free, parking fees may apply|https://www.wasagabeach.com|~1.5-2 hours driving|https://maps.app.goo.gl/C2X4Z7B1F3J5K9L0|No (General event)|Beach,Swimming,Summer|2025-05-29T00:00:00Z|dt35_match_dt4_103818
dt5|Sauble Beach Adventure|Lake Huron beach and dunes|https://source.unsplash.com/random/?beach,dunes|Sauble Beach, ON|Beach & Nature|All levels|2025-06-15|2025-09-15|Not required|Full day|Beach activities, dune exploration, sunset views|Parking fees (~$20/day)|https://www.saublebeach.com|~3.5 hours driving|https://goo.gl/maps/sauble|No (General event)|Beach,Dunes,Sunset|2025-05-29T00:00:00Z|dt45_match_dt5_103923
dt6|Long Point Provincial Park|World Biosphere Reserve beach|https://source.unsplash.com/random/?beach,nature|Long Point Provincial Park, ON|Nature & Beach|All levels|2025-06-15|2025-09-15|Not required|Full day|Beach activities, bird watching, nature trails|Park entry fee (~$21/vehicle)|https://www.ontarioparks.com/park/longpoint|~2.5 hours driving|https://goo.gl/maps/longpoint|No (General event)|Beach,Nature,Wildlife|2025-05-29T00:00:00Z|dt46_match_dt6_103956
dt10|Niagara Wine Country Tour|Wine tasting and exploring charming town|https://source.unsplash.com/random/?winery,niagara|Niagara-on-the-Lake, ON|Wine Tasting & Tourism|All levels|2025-06-14|2025-06-14|Not required|Full day|Wine tasting & exploring charming town|Gas, tastings (~$10-25/winery), meals|https://www.niagaraonthelake.com|~1.5-2 hours driving|https://goo.gl/maps/NOTL|No (General event)|Wine,Tourism,Day Trip|2025-05-29T00:00:00Z|dt2_match_dt10_103022
dt11|Prince Edward County Tour|Wine tasting and beach day|https://source.unsplash.com/random/?princeedward,wine|Picton, ON|Wine & Beach|All levels|2025-08-04|2025-08-04|Not required|Full day|Wineries, beautiful beaches (Sandbanks Provincial Park), and charming small towns|Gas, wine tastings ($10-20/winery), Sandbanks entry (~$20/car), meals|https://www.prince-edward-county.com|~2-2.5 hours driving|https://maps.app.goo.gl/T5U6V7W8X9Y1Z2A3|No (General event)|Wine,Beach,Tourism|2025-05-29T00:00:00Z|dt4_match_dt11_103068
dt12|Blue Mountain Summer Visit|Summer resort activities and adventure|https://source.unsplash.com/random/?bluemountain,summer|Blue Mountain Village, 190 Gord Canning Dr, The Blue Mountains, ON L9Y 0V9|Resort Activities|All levels|2025-08-16|2025-08-16|Not required|Full day|Summer resort activities|Gas, activity fees, meals|https://www.bluemountain.ca|~2-2.5 hours driving|https://maps.app.goo.gl/Q5T7R9W1V3X5Z7Y0|No (General event)|Resort,Summer,Activities|2025-05-29T00:00:00Z|dt5_match_dt12_103087
dt13|Blue Mountain & Scenic Caves Adventure|Mountain resort and cave exploration|https://source.unsplash.com/random/?caves,mountain|Blue Mountain Village, 190 Gord Canning Dr, The Blue Mountains, ON L9Y 0V9|Outdoor Adventure|All levels|2025-09-06|2025-09-06|Not required|Full day|Summer resort activities, hiking, suspension bridge|Gas, Scenic Caves admission (~$30-40 CAD), meals|https://www.sceniccaves.com|~2-2.5 hours driving|https://maps.app.goo.gl/Q5T7R9W1V3X5Z7Y0|No (General event)|Caves,Hiking,Adventure|2025-05-29T00:00:00Z|dt6_match_dt13_103106
